,Unnamed: 0,Latitude,Longitude,Date,Fire Intensity,Brightness,dist
742588,61034,34.211999999999996,-117.884,2020-09-19,7.4,308.6,37.585988055195
742593,61039,34.24,-118.02799999999999,2020-09-19,8.9,309.5,28.820432613376084
742594,61040,34.239000000000004,-118.039,2020-09-19,10.6,311.4,28.049946653773
742597,61043,34.391,-117.852,2020-09-19,33.4,333.3,52.134137046821
742598,61044,34.395,-117.887,2020-09-19,7.2,307.6,50.29987015310978
742599,61045,34.412,-117.831,2020-09-19,35.8,336.7,55.154363992082075
742604,61050,34.428000000000004,-117.77600000000001,2020-09-19,319.9,406.5,59.972971097134725
742605,61051,34.315,-117.947,2020-09-19,7.2,305.5,39.99723068726115
742609,61055,34.36,-117.88600000000001,2020-09-19,20.6,321.6,47.485221426148705
742612,61058,34.352,-117.943,2020-09-19,17.0,317.7,43.32681473218247
742614,61060,34.418,-117.786,2020-09-19,20.3,320.9,58.54035796672578
742619,61065,34.415,-117.809,2020-09-19,43.6,339.3,56.8016205653385
742620,61066,34.403,-117.83,2020-09-19,45.5,340.2,54.49792098202224
742626,61072,34.436,-117.789,2020-09-19,20.1,324.4,59.75270810658546
742627,61073,34.43,-117.834,2020-09-19,12.0,317.8,56.43665819371675
742629,61075,34.421,-117.833,2020-09-19,8.7,315.3,55.75888211081824
742630,61076,34.361999999999995,-117.944,2020-09-19,18.9,319.4,44.130052536125916
742634,61080,34.394,-117.82799999999999,2020-09-19,14.1,317.0,53.91743282627819
742636,61082,34.416,-117.79700000000001,2020-09-19,76.2,354.3,57.66138649597783
742638,61084,34.404,-117.818,2020-09-19,32.8,332.3,55.35241524772882
742647,61093,34.409,-117.854,2020-09-19,16.1,320.9,53.47318532605536
742651,61097,34.471,-117.941,2020-09-19,10.6,310.9,54.26145010534774
742653,61099,34.379,-117.87899999999999,2020-09-19,45.4,339.5,49.462686052864704
742656,61102,34.205999999999996,-117.859,2020-09-19,4.4,305.0,39.335363743407825
742659,61105,34.194,-117.95,2020-09-19,5.9,304.7,31.307140604148422
742667,61113,34.463,-117.945,2020-09-19,16.5,321.2,53.30981858009615
742668,61114,34.437,-117.99799999999999,2020-09-19,17.3,320.6,48.39747330406508
742669,61115,34.411,-117.84200000000001,2020-09-19,21.7,327.3,54.381713301141424
742678,61124,34.381,-117.868,2020-09-19,68.6,351.2,50.315537237465044
