,Unnamed: 0,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
303,303,2015-12-29,2,4,0.0,1021,6
304,304,2015-12-30,0,7,0.0,1031,5
305,305,2015-12-31,0,7,0.0,1036,7
0,0,2016-01-01,1,5,0.0,1029,7
1,1,2016-01-02,0,4,0.0,1023,6
2,2,2016-01-03,1,7,0.0,1017,5
3,3,2016-01-04,3,12,0.1,1017,6
4,4,2016-01-05,3,5,0.0,1003,5
5,5,2016-01-06,5,6,0.0,1005,9
6,6,2016-01-07,3,1,0.0,1014,8
7,7,2016-01-08,3,5,0.0,1018,8
8,8,2016-01-09,3,4,0.0,1021,9
9,9,2016-01-10,3,3,0.0,1025,11
10,10,2016-01-11,3,9,0.2,1022,4
11,11,2016-01-12,6,7,0.4,1013,8
12,12,2016-01-13,6,7,0.3,1008,6
13,13,2016-01-14,4,4,0.0,1012,9
14,14,2016-01-15,4,8,0.0,1016,7
15,15,2016-01-16,7,15,0.0,1009,9
16,16,2016-01-17,7,13,0.0,1008,7
17,17,2016-01-18,7,10,0.0,1016,10
18,18,2016-01-19,6,6,0.0,1005,8
19,19,2016-01-20,7,9,0.0,1021,9
20,20,2016-01-21,8,15,0.2,1011,9
21,21,2016-01-22,9,17,0.0,1011,10
22,22,2016-01-23,6,5,0.4,1008,7
23,23,2016-01-24,5,5,0.0,1019,9
24,24,2016-01-25,6,4,0.0,1024,10
25,25,2016-01-26,9,12,0.0,1024,10
26,26,2016-01-27,10,10,0.0,1021,11
27,27,2016-01-28,9,8,0.0,1013,10
28,28,2016-01-29,6,22,0.0,1004,7
29,29,2016-01-30,4,14,0.0,1014,6
30,30,2016-01-31,4,13,0.0,1016,6
31,31,2016-02-01,4,9,0.0,1021,6
32,32,2016-02-02,4,4,0.0,1023,8
33,33,2016-02-03,5,9,0.4,1018,7
34,34,2016-02-04,7,9,0.0,1027,8
35,35,2016-02-05,8,14,0.0,1020,11
36,36,2016-02-06,6,5,0.0,1031,9
37,37,2016-02-07,5,4,0.0,1035,10
38,38,2016-02-08,8,6,0.0,1031,13
39,39,2016-02-09,9,4,0.0,1022,18
40,40,2016-02-10,9,11,0.0,1023,11
41,41,2016-02-11,9,4,0.0,1021,12
42,42,2016-02-12,10,18,0.0,1019,11
43,43,2016-02-13,7,16,0.0,1022,9
44,44,2016-02-14,9,15,0.0,1020,10
45,45,2016-02-15,10,13,0.0,1018,10
46,46,2016-02-16,10,8,0.0,1016,12
47,47,2016-02-17,10,4,0.2,994,13
48,48,2016-02-18,7,18,0.0,994,9
49,49,2016-02-19,7,7,0.4,1003,9
50,50,2016-02-20,5,7,0.0,1028,9
51,51,2016-02-21,5,12,0.2,1022,7
52,52,2016-02-22,5,6,0.0,1030,7
53,53,2016-02-23,6,11,0.0,1022,12
54,54,2016-02-24,8,3,0.0,1023,14
55,55,2016-02-25,8,4,0.0,1022,14
56,56,2016-02-26,9,6,0.0,1014,14
57,57,2016-02-27,9,12,0.0,1019,10
58,58,2016-02-28,7,26,0.0,1012,10
59,59,2016-02-29,7,10,0.0,1022,10
60,60,2016-03-01,7,19,0.0,1003,9
61,61,2016-03-02,9,7,0.0,1013,12
62,62,2016-03-03,10,20,0.0,1015,12
63,63,2016-03-04,8,11,0.3,1010,12
