,Unnamed: 0,Latitude,Longitude,Date,Fire Intensity,Brightness,dist
357796,357796,47.34,-121.0688,2017-09-06,26.5,335.4,99.76584211817026
357797,357797,47.3383,-121.0819,2017-09-06,122.8,373.8,98.88506654236978
357802,357802,47.0328,-121.3578,2017-09-06,7.1,313.5,97.59279812112851
357814,357814,47.6473,-121.5974,2017-09-06,9.0,312.7,55.47730299086698
358070,358070,46.9391,-121.4579,2017-09-07,34.2,312.4,99.59356795645441
358071,358071,47.3362,-121.094,2017-09-07,25.0,309.1,98.09214633447897
358072,358072,47.3901,-121.0561,2017-09-07,16.2,303.7,99.12595291582706
358073,358073,47.3775,-121.0502,2017-09-07,12.0,301.4,99.9175366189499
358074,358074,47.349,-121.0947,2017-09-07,48.4,319.6,97.6016141283703
358155,358155,47.3442,-121.0906,2017-09-07,19.2,311.0,98.0586513950765
358156,358156,47.3332,-121.0942,2017-09-07,28.4,316.9,98.18374132934755
358157,358157,47.3549,-121.0854,2017-09-07,17.2,309.4,98.0743695097051
358160,358160,47.373000000000005,-121.0591,2017-09-07,11.7,303.9,99.40562507819625
359838,359838,47.3449,-121.1005,2017-09-08,6.4,311.7,97.32472720252177
359843,359843,47.3675,-121.0662,2017-09-08,8.1,313.9,99.05915639234611
360212,360212,47.3415,-121.0919,2017-09-08,10.0,317.5,98.05805998352133
360220,360220,47.3504,-121.0956,2017-09-08,12.6,319.4,97.48990860291534
361491,361491,47.3549,-121.0734,2017-09-11,9.7,306.7,98.93877781165256
361494,361494,47.3517,-121.1,2017-09-11,16.3,315.1,97.13017109032724
361496,361496,47.3642,-121.0756,2017-09-11,7.8,304.0,98.48238239229224
361497,361497,47.3658,-121.06200000000001,2017-09-11,7.2,302.2,99.41570092113608
361498,361498,47.3533,-121.0867,2017-09-11,19.7,318.4,98.03341519554195
361549,361549,47.3577,-121.0899,2017-09-11,22.4,323.2,97.65876237011973
361550,361550,47.3558,-121.0772,2017-09-11,9.7,308.1,98.6356830352884
